CHIP  CHANNEL  layer  module_IX  module_IV  IX  IV  TYPE
   1        0      0          0          0  -5   2     0
   1        2      0          0          0  -4   2     4
   1        4      0          0          0  -4   1     0
   1        6      0          0          0  -6   2     0
   1        8      0          0          0  -3   0     0
   1       10      0          0          0  -6   1     2
   1       12      0          0          0  -5   1     0
   1       14      0          0          0  -2   0     0
   1       16      0          0          0  -3   1     0
   1       18      0          0          0  -2   1     0
   1       20      0          0          0  -3   2     0
   1       22      0          0          0  -2   2     0
   1       24      0          0          0  -1   1     0
   1       26      0          0          0  -1   2     0
   1       28      0          0          0  -2   3     0
   1       30      0          0          0  -2   4     0
   1       32      0          0          0  -3   5     0
   1       34      0          0          0  -3   4     0
   1       36      0          0          0  -4   5     0
   1       38      0          0          0  -4   4     0
   1       40      0          0          0  -3   3     0
   1       42      0          0          0  -4   3     0
   1       44      0          0          0  -3   6     0
   1       46      0          0          0  -7   3     3
   1       48      0          0          0  -4   6     0
   1       50      0          0          0  -5   6     2
   1       52      0          0          0  -5   5     0
   1       54      0          0          0  -5   4     0
   1       56      0          0          0  -6   5     2
   1       58      0          0          0  -6   3     0
   1       60      0          0          0  -5   3     0
   1       62      0          0          0  -6   4     0
   2        0      0          0          0   2   3     0
   2        2      0          0          0   2   4     0
   2        4      0          0          0   3   3     0
   2        6      0          0          0   1   4     0
   2        8      0          0          0   0   5     0
   2       10      0          0          0   1   5     2
   2       12      0          0          0  -1   6     2
   2       14      0          0          0   0   4     0
   2       16      0          0          0   1   3     0
   2       18      0          0          0   0   3     0
   2       20      0          0          0  -3   7     3
   2       22      0          0          0  -2   6     0
   2       24      0          0          0  -1   5     0
   2       26      0          0          0  -1   4     0
   2       28      0          0          0  -2   5     0
   2       30      0          0          0  -1   3     0
   2       32      0          0          0   0   2     0
   2       34      0          0          0   0   1     0
   2       36      0          0          0   1   0     0
   2       38      0          0          0   1   1     0
   2       40      0          0          0   4   0     0
   2       42      0          0          0   3   0     0
   2       44      0          0          0   3   1     0
   2       46      0          0          0   5   0     0
   2       48      0          0          0   5   1     2
   2       50      0          0          0   4   1     0
   2       52      0          0          0   2   1     0
   2       54      0          0          0   1   2     0
   2       56      0          0          0   2   2     0
   2       58      0          0          0   3   2     0
   2       60      0          0          0   4   3     3
   2       62      0          0          0   4   2     0
   3        0      0          0          0   4  -3     0
   3        2      0          0          0   4  -2     0
   3        4      0          0          0   5  -3     0
   3        6      0          0          0   6  -4     0
   3        8      0          0          0   5  -1     0
   3       10      0          0          0   6  -3     0
   3       12      0          0          0   7  -4     3
   3       14      0          0          0   6  -2     0
   3       16      0          0          0   6  -1     2
   3       18      0          0          0   5  -2     0
   3       20      0          0          0   4  -1     0
   3       22      0          0          0   3  -1     0
   3       24      0          0          0   3  -2     0
   3       26      0          0          0   2  -1     4
   3       28      0          0          0   2   0     0
   3       30      0          0          0   3  -3     0
   3       32      0          0          0   2  -3     0
   3       34      0          0          0   2  -2     0
   3       36      0          0          0   0   0     0
   3       38      0          0          0   1  -1     0
   3       40      0          0          0   1  -2     0
   3       42      0          0          0   2  -4     0
   3       44      0          0          0   3  -4     0
   3       46      0          0          0   3  -5     0
   3       48      0          0          0   4  -6     0
   3       50      0          0          0   4  -5     0
   3       52      0          0          0   5  -6     2
   3       54      0          0          0   5  -4     0
   3       56      0          0          0   5  -5     0
   3       58      0          0          0   4  -4     0
   3       62      0          0          0   6  -5     2
   4        0      0          0          0  -2  -2     0
   4        2      0          0          0  -1  -3     0
   4        4      0          0          0  -2  -3     0
   4        6      0          0          0   0  -4     0
   4        8      0          0          0  -3  -3     0
   4       10      0          0          0   1  -4     0
   4       12      0          0          0   1  -5     0
   4       14      0          0          0  -4  -2     0
   4       16      0          0          0  -4  -3     3
   4       18      0          0          0  -2  -4     0
   4       20      0          0          0  -1  -4     0
   4       22      0          0          0  -1  -5     2
   4       24      0          0          0   0  -5     0
   4       26      0          0          0   1  -6     2
   4       28      0          0          0   2  -6     0
   4       30      0          0          0   2  -5     0
   4       32      0          0          0   3  -6     0
   4       34      0          0          0   4  -7     3
   4       36      0          0          0   0  -1     0
   4       38      0          0          0   0  -2     0
   4       40      0          0          0   1  -3     0
   4       42      0          0          0   0  -3     0
   4       44      0          0          0  -1   0     0
   4       46      0          0          0  -3  -1     0
   4       48      0          0          0  -4   0     0
   4       50      0          0          0  -5   0     0
   4       52      0          0          0  -2  -1     0
   4       54      0          0          0  -1  -1     0
   4       56      0          0          0  -1  -2     0
   4       58      0          0          0  -3  -2     0
   4       60      0          0          0  -5  -1     2
   4       62      0          0          0  -4  -1     0
